Gene,Pt_mRCC_SC_90,Pt_mRCC_SC_1,Pt_mRCC_SC_23,Pt_mRCC_SC_93,Pt_mRCC_SC_39,Pt_mRCC_SC_84,Pt_mRCC_SC_75,Pt_mRCC_SC_79,Pt_mRCC_SC_12,Pt_mRCC_SC_24,Pt_mRCC_SC_36,Pt_mRCC_SC_85,Pt_mRCC_SC_33,Pt_mRCC_SC_81,Pt_mRCC_SC_87,Pt_mRCC_SC_59,Pt_mRCC_SC_56,Pt_mRCC_SC_64,Pt_mRCC_SC_17,Pt_mRCC_SC_43,Pt_mRCC_SC_92,Pt_mRCC_SC_30,Pt_mRCC_SC_57,Pt_mRCC_SC_53,Pt_mRCC_SC_61,Pt_mRCC_SC_11,Pt_mRCC_SC_21,Pt_mRCC_SC_71,Pt_mRCC_SC_5,Pt_mRCC_SC_3,Pt_mRCC_SC_86,Pt_mRCC_SC_69,Pt_mRCC_SC_58,Pt_mRCC_SC_88,Pt_mRCC_SC_10
GNRHR,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
GNRHR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNS,81,157,118,662,40,722,90,2,641,46,336,161,948,134,10,17,28,403,37,70,110,39,2,479,335,60,2,962,1,106,242,177,151,177,21
GOLGA1,0,0,241,21,9,0,3,0,45,1,13,4,9,25,8,0,21,2,0,8,8,0,0,0,1,61,0,93,1,10,24,0,2,7,0
GOLGA2,0,5,1,7,13,23,14,468,211,52,24,0,85,13,11,3,15,16,3,153,30,82,0,0,193,6,125,3,0,0,0,344,9,151,29
GOLGA2P10,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,24,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
GOLGA2P5,12,0,22,0,1,0,0,0,0,0,0,22,0,0,102,0,0,1,0,8,1,0,6,0,0,0,0,0,0,0,0,0,0,0,4
GOLGA2P7,0,3,34,2,1,0,0,0,8,5,4,17,26,2,2,0,15,0,24,0,1,0,3,0,4,0,0,1,0,8,7,0,0,0,3
GOLGA3,4,319,437,35,114,546,139,32,259,22,134,24,270,260,73,41,220,54,495,726,100,215,45,1799,268,219,21,12,2,242,552,109,45,234,13
GOLGA4,1020,802,212,337,186,387,483,202,919,856,492,926,125,132,157,149,227,515,324,1369,270,1813,311,170,500,516,178,301,2,2236,192,224,924,302,37
